Summons Number,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
9010912681,CA,PAS,10/11/22,17,SUBN,FORD,T,20220788,50,50,50,365910,T201,D,0825A,,BX,O,0,408,C4,,SCHOOL,0700A,0400P,BLACK,,0,,0,,,
4858762841,NY,PAS,8/21/23,36,4DSD,HONDA,V,0,,0,0,0,,,1036A,,BK,,0,1180,B,T,,,,GY,,2003,,0,,,
4854645684,FL,PAS,7/26/23,36,UT,BMW,V,0,,0,0,0,,,0126P,,QN,,0,1180,B,T,,,,WHI,,2022,,0,,,
9044582707,NY,PAS,4/10/23,21,SUBN,SUBAR,T,20231217,79,79,79,370326,T301,H,0924A,,K,F,0,408,D1,, Y  Y,0900A,1030A,GY,,2017,,0,,,
9041503330,NY,PAS,3/21/23,21,4DSD,CHEVR,T,20250320,26,26,26,373097,T103,C,1155A,,NY,O,0,408,D1,,  Y  Y,1100A,1230A,BK,,2018,,0,,,
8964996320,NY,COM,6/12/23,21,VAN,CHEVR,T,88888888,46,46,46,374612,T201,E,0923A,,BX,I,0,408,D1,, Y  Y,0800A,0930A,TAN,,0,,0,,,
9019285804,NY,SRF,11/20/22,40,SUBN,VOLKS,T,20240220,20,20,20,357701,T103,P,0230P,,NY,O,0,408,E2,,YYYYYYY,,,GY,,2011,,4,,,
9000744076,CT,COM,7/19/22,69,SUBN,LINCO,T,88888888,6,6,6,373104,T102,I,0349P,,NY,F,0,408,H1,, YYYYY,0700A,0600P,BLACK,,0,102744,0,,,
4839205334,NY,PAS,4/30/23,36,SUBN,TESLA,V,0,,0,0,0,,,1154A,,BK,,0,1180,B,T,,,,RD,,2021,,0,,,
9006263692,NY,PAS,9/20/22,16,SUBN,CHEVR,T,20240323,84,84,84,368636,T301,P,0308P,,K,F,0,408,K2,, YYYYY,1000A,0400P,BK,,2017,,0,,,
8849295534,NY,COM,9/12/22,21,VAN,GMC,T,88888888,109,109,109,363120,T401,E,1133A,,Q,F,0,408,D1,, Y,1100A,1230A,WHITE,,2009,,0,,,
